id,name,category,subcategory,aurum,aurum_vozvr,argentum,argentum_vozvr,plat,plat_vozvr,palad,palad_vozvr,rod,irid,rut,mpg,indii,osmii,ekran,diam_prov,ch_jil,mat_jil,plotn_opl,prov_v_zhile,sech_jil,koldet,title,description,type,tom,revision,pages,publisher,year,isbn,rem,remarks
16012,контактор вкдд533дод,Контакторы,,0,0,7.88,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16013,контактор 5вб 566.420,Контакторы,,0,0,5.4347,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16014,контактор 5вб 566.424,Контакторы,,0,0,5.9835,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16015,контактор 5вб 566.428,Контакторы,,0,0,7.6306,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16016,контактор 5вб 566.433,Контакторы,,0,0,6.0305,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16017,контактор 5вб 566.451,Контакторы,,0,0,5.7543,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16018,контактор 5вб 566.499,Контакторы,,0,0,2.1707,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16019,контактор 5вб 566.524,Контакторы,,0,0,7.5896,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16020,контактор 5вб 566.529,Контакторы,,0,0,6.388,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16021,контактор 5вб 581.033.766,Контакторы,,0,0,4.8305,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16022,контактор 8вб 557.575,Контакторы,,0,0,3.5211,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16023,контактор дткс133дг,Контакторы,,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16024,контактор квт10-400,Контакторы,,0,0,77.7,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16025,контактор кдтв ту16.524.013.77,Контакторы,,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16026,контактор кие020,Контакторы,,0,0,1.48876,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16027,контактор кие030,Контакторы,,0,0,2.10008,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16028,контактор кие120,Контакторы,,0,0,1.49106,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16029,контактор кие130,Контакторы,,0,0,1.93896,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16030,контактор кие2211,Контакторы,,0,0,4.21932,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
16031,контактор кие230,Контакторы,,0,0,6.01037,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,0,,,
